"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"941152","ORANGEPL",0,20200922,100406,7.09,7.09,7.09,7.09,500,0
"941153","ORANGEPL",0,20200922,100441,7.09,7.09,7.09,7.09,540,0
"941154","ORANGEPL",0,20200922,100526,7.07,7.09,7.07,7.09,664,0
"941155","ORANGEPL",0,20200922,100730,7.085,7.085,7.085,7.085,897,0
"941156","ORANGEPL",0,20200922,100805,7.085,7.085,7.085,7.085,700,0
"941157","ORANGEPL",0,20200922,100904,7.085,7.085,7.085,7.085,670,0
"941158","ORANGEPL",0,20200922,100912,7.085,7.085,7.085,7.085,670,0
"941159","ORANGEPL",0,20200922,100913,7.08,7.08,7.08,7.08,3346,0
"941160","ORANGEPL",0,20200922,101210,7.065,7.065,7.065,7.065,655,0
"941161","ORANGEPL",0,20200922,101604,7.08,7.09,7.08,7.09,1484,0
"941162","ORANGEPL",0,20200922,101649,7.09,7.09,7.09,7.09,912,0
"941163","ORANGEPL",0,20200922,101852,7.1,7.1,7.1,7.1,1,0
"941164","ORANGEPL",0,20200922,102455,7.08,7.08,7.08,7.08,673233,0
"941165","ORANGEPL",0,20200922,102456,7.08,7.09,7.08,7.09,4552,0
"941166","ORANGEPL",0,20200922,102458,7.08,7.08,7.075,7.075,1125,0
"941167","ORANGEPL",0,20200922,102500,7.065,7.065,7.065,7.065,1785,0
"941168","ORANGEPL",0,20200922,102501,7.08,7.08,7.08,7.08,499,0
"941169","ORANGEPL",0,20200922,102503,7.065,7.08,7.065,7.08,1244,0
"941170","ORANGEPL",0,20200922,102519,7.08,7.08,7.08,7.08,135,0
"941171","ORANGEPL",0,20200922,102631,7.09,7.09,7.09,7.09,270,0
"941172","ORANGEPL",0,20200922,102638,7.09,7.09,7.09,7.09,135,0
"941173","ORANGEPL",0,20200922,102659,7.09,7.09,7.09,7.09,1080,0
"941174","ORANGEPL",0,20200922,102806,7.09,7.09,7.09,7.09,135,0
"941175","ORANGEPL",0,20200922,102906,7.09,7.09,7.09,7.09,405,0
"941176","ORANGEPL",0,20200922,102909,7.09,7.09,7.09,7.09,357,0
"941177","ORANGEPL",0,20200922,103103,7.09,7.095,7.09,7.095,1484,0
"941178","ORANGEPL",0,20200922,103236,7.1,7.1,7.1,7.1,4830,0
"941179","ORANGEPL",0,20200922,103237,7.1,7.1,7.1,7.1,528,0
"941180","ORANGEPL",0,20200922,103240,7.1,7.1,7.1,7.1,4849,0
"941181","ORANGEPL",0,20200922,103241,7.1,7.1,7.1,7.1,135,0
"941182","ORANGEPL",0,20200922,103243,7.1,7.1,7.1,7.1,5331,0
"941183","ORANGEPL",0,20200922,103246,7.1,7.1,7.1,7.1,4874,0
"941184","ORANGEPL",0,20200922,103248,7.1,7.1,7.1,7.1,5236,0
"941185","ORANGEPL",0,20200922,103253,7.1,7.1,7.1,7.1,405,0
"941186","ORANGEPL",0,20200922,103255,7.1,7.1,7.1,7.1,5182,0
"941187","ORANGEPL",0,20200922,103256,7.1,7.105,7.1,7.105,2022,0
"941188","ORANGEPL",0,20200922,103257,7.105,7.105,7.105,7.105,135,0
"941189","ORANGEPL",0,20200922,103301,7.1,7.105,7.1,7.105,6434,0
